ID_code,price
test_1,5667
test_2,638
test_3,450
test_4,12764
test_5,1326
test_6,13338
test_7,1436
test_8,7713
test_9,5796
test_10,3574
test_11,8165
test_12,3858
test_13,3552
test_14,489
test_15,1884
test_16,15984
test_17,769
test_18,642
test_19,666
test_20,5242
test_21,1074
test_22,6115
test_23,899
test_24,645
test_25,1948
test_26,5731
test_27,3250
test_28,17068
test_29,1221
test_30,3332
test_31,8548
test_32,1271
test_33,1016
test_34,2875
test_35,4743
test_36,15584
test_37,1893
test_38,524
test_39,2594
test_40,527
test_41,505
test_42,4714
test_43,803
test_44,445
test_45,6399
test_46,4322
test_47,995
test_48,6774
test_49,706
test_50,1003
test_51,1095
test_52,1141
test_53,645
test_54,5136
test_55,1197
test_56,2629
test_57,1304
test_58,9412
test_59,4274
test_60,4950
test_61,7589
test_62,3024
test_63,914
test_64,911
test_65,884
test_66,6777
test_67,854
test_68,1569
test_69,439
test_70,2442
test_71,1548
test_72,1609
test_73,1625
test_74,9783
test_75,828
test_76,1295
test_77,7155
test_78,4373
test_79,687
test_80,571
test_81,10833
test_82,3001
test_83,4466
test_84,11500
test_85,8668
test_86,1168
test_87,710
test_88,1073
test_89,3235
test_90,7333
test_91,3000
test_92,7639
test_93,13027
test_94,1819
test_95,5345
test_96,1779
test_97,862
test_98,2988
test_99,851
test_100,2832
test_101,571
test_102,1003
test_103,2967
test_104,926
test_105,753
test_106,554
test_107,744
test_108,1914
test_109,2661
test_110,544
test_111,4914
test_112,4608
test_113,10214
test_114,4670
test_115,1400
test_116,2583
test_117,523
test_118,5315
test_119,421
test_120,537
test_121,984
test_122,2810
test_123,3332
test_124,870
test_125,6403
test_126,4414
test_127,9229
test_128,8895
test_129,2694
test_130,8895
test_131,5407
test_132,1216
test_133,573
test_134,972
test_135,738
test_136,7811
test_137,747
test_138,16232
test_139,854
test_140,2109
test_141,1107
test_142,4252
test_143,3763
test_144,2958
test_145,3223
test_146,8930
test_147,904
test_148,12099
test_149,419
test_150,1774
test_151,5601
test_152,571
test_153,3192
test_154,575
test_155,544
test_156,1984
test_157,5453
test_158,4724
test_159,4518
test_160,4824
test_161,1802
test_162,3042
test_163,593
test_164,4333
test_165,2218
test_166,608
test_167,969
test_168,766
test_169,992
test_170,13819
test_171,6830
test_172,8940
test_173,1002
test_174,967
test_175,10126
test_176,8799
test_177,4640
test_178,3763
test_179,2450
test_180,1628
test_181,859
test_182,2513
test_183,9224
test_184,926
test_185,1238
test_186,3711
test_187,799
test_188,6843
test_189,8712
test_190,526
test_191,1020
test_192,7032
test_193,6504
test_194,4389
test_195,4392
test_196,3606
test_197,1723
test_198,904
test_199,1974
test_200,4271
test_201,13595
test_202,744
test_203,1056
test_204,1448
test_205,9775
test_206,478
test_207,2346
test_208,2056
test_209,3071
test_210,828
test_211,2117
test_212,1087
test_213,2409
test_214,1574
test_215,1631
test_216,1792
test_217,945
test_218,4125
test_219,8029
test_220,5058
test_221,2803
test_222,7154
test_223,2947
test_224,3242
test_225,707
test_226,3679
test_227,4626
